
AE LO SEPAR1 ALARM:7103:-:Average:900
AE LO SEPAR1 RUN:71034:nan:Average:900
AE LO SEPAR1 RUN:71034:nan:Raw data:3600
AE LO SEPAR2  RUN:71044:nan:Average:900
AE LO SEPAR2  RUN:71044:nan:Raw data:3600
AE LO SEPAR2 ALARM:7104:-:Average:900
AE SCR 2CFC20 ALARM:6854:-:Average:900
AE SCR 2CFC20 ALARM:6854:-:Raw data:3600
AE SCR CBD10 230V IS:6858:-:Average:900
AE SCR CBD10 230V IS:6858:-:Raw data:3600
AE SCR CBD10 24V ISO:6857:-:Average:900
AE SCR CBD10 24V ISO:6857:-:Raw data:3600
AE SCR CBD10 FUSE:6856:-:Average:900
AE SCR CBD10 FUSE:6856:-:Raw data:3600
AE SCR CBD10 WARNING:6853:-:Average:900
AE SCR CBD10 WARNING:6853:-:Raw data:3600
AE SCR CFC20 230V IS:6868:-:Average:900
AE SCR CFC20 230V IS:6868:-:Raw data:3600
AE SCR CFC20 AIR CON:6874:-:Average:900
AE SCR CFC20 AIR CON:6874:-:Raw data:3600
AE SCR CFC20 ANALYS:6867:-:Average:900
AE SCR CFC20 ANALYS:6867:-:Raw data:3600
AE SCR CFC20 CALIB M:68506:-:Average:900
AE SCR CFC20 HUMIDIT:6873:-:Average:900
AE SCR CFC20 HUMIDIT:6873:-:Raw data:3600
AE SCR CFC20 MEAS GA:6871:-:Average:900
AE SCR CFC20 MEAS GA:6871:-:Raw data:3600
AE SCR CFC20 U23 DEV:6870:-:Average:900
AE SCR CFC20 U23 DEV:6870:-:Raw data:3600
AE SCR CFC20 WASH BO:6876:-:Average:900
AE SCR CFC20 WASH BO:6876:-:Raw data:3600
AE SCR CFC20 WASH FL:6875:-:Average:900
AE SCR CFC20 WASH FL:6875:-:Raw data:3600
AE SCR NO LEVEL:68509:ppm:Average:900
AE SCR NO LEVEL:68509:ppm:Raw data:3600
AE SCR NO LEVEL:68509CALC:g/kWh:Average:900
AE SCR NO LEVEL:68509CALC:g/kWh:Raw data:3600
AE SCR NOX SIGNAL:6866:-:Average:900
AE SCR NOX SIGNAL:6866:-:Raw data:3600
AE SCR UREA REQUEST:68501:-:Average:900
AE1 ACTIVE SD START:1778:-:Average:900
AE1 BREAKER:55011M:-:Average:900
AE1 BREAKER:DG1BREAKER:nan:Average:900
AE1 BREAKER:DG1BREAKER:nan:Raw data:3600
AE1 CA OTL CAC PRESS:1649:Bar:Average:900
AE1 CA OTL CAC PRESS:1649:Bar:Raw data:900
AE1 CA OTL CAC TEMP:1654:  C:Average:900
AE1 CA OTL CAC TEMP:1654:  C:Raw data:900
AE1 CAC PRESS DIFF:1652:mBar:Average:900
AE1 CAC PRESS DIFF:1652:mBar:Raw data:900
AE1 COMMON ALARM:1903:-:Average:900
AE1 COMMUNICATION:AE1_INTFF_A:-:Average:900
AE1 COMMUNICATION:AE1_INTFF_A:-:Raw data:3600
AE1 COMMUNICATION:AE1_INTFF_B:-:Average:900
AE1 COMMUNICATION:AE1_INTFF_B:-:Raw data:3600
AE1 CPU TEMP:1801:  C:Average:900
AE1 CPU TEMP:1801:  C:Raw data:900
AE1 CRANKC PRESS:1659:mBar:Average:900
AE1 CRANKC PRESS:1659:mBar:Raw data:900
AE1 CTRL AIR PRESS:1623:Bar:Average:900
AE1 CTRL AIR PRESS:1623:Bar:Raw data:900
AE1 CYL EXHAUST T:1501_S:C:Average:900
AE1 CYL EXHAUST T:1501_S:C:Raw data:900
AE1 CYL1 LINER 1 TEM:1701:  C:Average:900
AE1 CYL1 LINER 1 TEM:1701:  C:Raw data:900
AE1 CYL1 LINER 1 TEM:1703:-:Average:900
AE1 CYL1 LINER 1 TEM:1703:-:Raw data:900
AE1 CYL1 LINER 2 TEM:1704:  C:Average:900
AE1 CYL1 LINER 2 TEM:1704:  C:Raw data:900
AE1 CYL1 LINER 2 TEM:1706:-:Average:900
AE1 CYL1 LINER 2 TEM:1706:-:Raw data:900
